accession,version,locus,definition,organism,source,biosample,bioproject,keywords,taxonomy,assembly_accession,assembly_name,assembly_level,refseq_category,ref_authors,ref_title,ref_journal,ref_pubmed
,,,,,,,,,,,,,,,,,
AP039418,AP039418.1,AP039418,"Escherichia coli BroCaecum-55 DNA, complete genome",Escherichia coli,Escherichia coli,SAMD00874696,PRJDB19974,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Kawano,K., Masaki,T., Kawaguchi,T. and Kuroda,M.",Persistence of Colistin Resistance and mcr-1.1-Positive E. coli in Poultry Despite Colistin Ban in Japan,"Antibiotics (Basel) 14 (4), 360 (2025)",40298502
,,,,,,,,,,,,,,,,,
CP159455,CP159455.1,CP159455,"Escherichia coli strain S6aCHROMc chromosome, complete genome",Escherichia coli,Escherichia coli,SAMN42056363,PRJNA1096459,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Kovarova,A., Prole,G., Farrell,M.L., Maguire,M., Murphy,L.C., Chueiri,A., O'Connor,L., Miliotis,G., Morris,D. and Burke,L.P.",Antimicrobial resistant Enterobacterales of clinical importance in mute swans,"Sci Total Environ 961, 178400 (2025)",39798462
,,,,,,,,,,,,,,,,,
AP035757,AP035757.1,AP035757,"Escherichia coli SOI121 DNA, complete genome",Escherichia coli,Escherichia coli,SAMD00770530,PRJDB18000,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Murakami,K., Ida,M., Kubota,H., Suzuki,Y., Miyake,H. and Sadamasu,K.",Complete genome sequences of Escherichia coli SOI121,Unpublished,
,,,,,,,,,,,,,,,,,
AP040249,AP040249.1,AP040249,"Escherichia coli B1-56 DNA, complete genome",Escherichia coli,Escherichia coli,SAMD00548845,PRJDB13852,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Koide,N., Matsuyama,R., Sugiyama,M., Yossapol,M., Sudo,A., Suzuki,M., Murakami,K., Kuroda,M. and Asai,T.",Transmission of antimicrobial resistance determinant in Escherichia species between wild great cormorants and lake water in Japan,Unpublished,
,,,,,,,,,,,,,,,,,
CP184002,CP184002.1,CP184002,"Escherichia coli strain 884 chromosome, complete genome",Escherichia coli,Escherichia coli,SAMN47255919,PRJNA1232972,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Matsumura,Y., Peirano,G. and Pitout,J.D.D.",Direct Submission,"Submitted (07-MAR-2025) Clinical Laboratory Medicine, Kyoto University Graduate School of Medicine, 54 Shogoin-kawaharacho, Sakyo-ku, Kyoto 6068507, Japan",
,,,,,,,,,,,,,,,,,
CP184097,CP184097.1,CP184097,"Escherichia coli strain AZ 186 chromosome, complete genome",Escherichia coli,Escherichia coli,SAMN47255946,PRJNA1232972,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Matsumura,Y., Peirano,G. and Pitout,J.D.D.",Direct Submission,"Submitted (07-MAR-2025) Clinical Laboratory Medicine, Kyoto University Graduate School of Medicine, 54 Shogoin-kawaharacho, Sakyo-ku, Kyoto 6068507, Japan",
,,,,,,,,,,,,,,,,,
CP184069,CP184069.1,CP184069,"Escherichia coli strain 1449 chromosome, complete genome",Escherichia coli,Escherichia coli,SAMN47255935,PRJNA1232972,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Matsumura,Y., Peirano,G. and Pitout,J.D.D.",Direct Submission,"Submitted (07-MAR-2025) Clinical Laboratory Medicine, Kyoto University Graduate School of Medicine, 54 Shogoin-kawaharacho, Sakyo-ku, Kyoto 6068507, Japan",
,,,,,,,,,,,,,,,,,
CP184109,CP184109.1,CP184109,"Escherichia coli strain AZ 189 chromosome, complete genome",Escherichia coli,Escherichia coli,SAMN47255949,PRJNA1232972,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Matsumura,Y., Peirano,G. and Pitout,J.D.D.",Direct Submission,"Submitted (07-MAR-2025) Clinical Laboratory Medicine, Kyoto University Graduate School of Medicine, 54 Shogoin-kawaharacho, Sakyo-ku, Kyoto 6068507, Japan",
,,,,,,,,,,,,,,,,,
CP184091,CP184091.1,CP184091,"Escherichia coli strain AZ184 chromosome, complete genome",Escherichia coli,Escherichia coli,SAMN47255944,PRJNA1232972,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Matsumura,Y., Peirano,G. and Pitout,J.D.D.",Direct Submission,"Submitted (07-MAR-2025) Clinical Laboratory Medicine, Kyoto University Graduate School of Medicine, 54 Shogoin-kawaharacho, Sakyo-ku, Kyoto 6068507, Japan",
,,,,,,,,,,,,,,,,,
CP184086,CP184086.1,CP184086,"Escherichia coli strain AZ167 chromosome, complete genome",Escherichia coli,Escherichia coli,SAMN47255941,PRJNA1232972,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Matsumura,Y., Peirano,G. and Pitout,J.D.D.",Direct Submission,"Submitted (07-MAR-2025) Clinical Laboratory Medicine, Kyoto University Graduate School of Medicine, 54 Shogoin-kawaharacho, Sakyo-ku, Kyoto 6068507, Japan",
,,,,,,,,,,,,,,,,,
CP184111,CP184111.1,CP184111,"Escherichia coli strain AZ 190 chromosome, complete genome",Escherichia coli,Escherichia coli,SAMN47255950,PRJNA1232972,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Matsumura,Y., Peirano,G. and Pitout,J.D.D.",Direct Submission,"Submitted (07-MAR-2025) Clinical Laboratory Medicine, Kyoto University Graduate School of Medicine, 54 Shogoin-kawaharacho, Sakyo-ku, Kyoto 6068507, Japan",
,,,,,,,,,,,,,,,,,
CP184077,CP184077.1,CP184077,"Escherichia coli strain 1450 chromosome, complete genome",Escherichia coli,Escherichia coli,SAMN47255936,PRJNA1232972,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Matsumura,Y., Peirano,G. and Pitout,J.D.D.",Direct Submission,"Submitted (07-MAR-2025) Clinical Laboratory Medicine, Kyoto University Graduate School of Medicine, 54 Shogoin-kawaharacho, Sakyo-ku, Kyoto 6068507, Japan",
,,,,,,,,,,,,,,,,,
CP184048,CP184048.1,CP184048,"Escherichia coli strain 1442 chromosome, complete genome",Escherichia coli,Escherichia coli,SAMN47255929,PRJNA1232972,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Matsumura,Y., Peirano,G. and Pitout,J.D.D.",Direct Submission,"Submitted (07-MAR-2025) Clinical Laboratory Medicine, Kyoto University Graduate School of Medicine, 54 Shogoin-kawaharacho, Sakyo-ku, Kyoto 6068507, Japan",
,,,,,,,,,,,,,,,,,
CP184035,CP184035.1,CP184035,"Escherichia coli strain 1437 chromosome, complete genome",Escherichia coli,Escherichia coli,SAMN47255925,PRJNA1232972,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Matsumura,Y., Peirano,G. and Pitout,J.D.D.",Direct Submission,"Submitted (07-MAR-2025) Clinical Laboratory Medicine, Kyoto University Graduate School of Medicine, 54 Shogoin-kawaharacho, Sakyo-ku, Kyoto 6068507, Japan",
,,,,,,,,,,,,,,,,,
CP184025,CP184025.1,CP184025,"Escherichia coli strain 1435 chromosome, complete genome",Escherichia coli,Escherichia coli,SAMN47255923,PRJNA1232972,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Matsumura,Y., Peirano,G. and Pitout,J.D.D.",Direct Submission,"Submitted (07-MAR-2025) Clinical Laboratory Medicine, Kyoto University Graduate School of Medicine, 54 Shogoin-kawaharacho, Sakyo-ku, Kyoto 6068507, Japan",
,,,,,,,,,,,,,,,,,
CP183993,CP183993.1,CP183993,"Escherichia coli strain 736 chromosome, complete genome",Escherichia coli,Escherichia coli,SAMN47255917,PRJNA1232972,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Matsumura,Y., Peirano,G. and Pitout,J.D.D.",Direct Submission,"Submitted (07-MAR-2025) Clinical Laboratory Medicine, Kyoto University Graduate School of Medicine, 54 Shogoin-kawaharacho, Sakyo-ku, Kyoto 6068507, Japan",
,,,,,,,,,,,,,,,,,
CP184045,CP184045.1,CP184045,"Escherichia coli strain 1439 chromosome, complete genome",Escherichia coli,Escherichia coli,SAMN47255927,PRJNA1232972,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Matsumura,Y., Peirano,G. and Pitout,J.D.D.",Direct Submission,"Submitted (07-MAR-2025) Clinical Laboratory Medicine, Kyoto University Graduate School of Medicine, 54 Shogoin-kawaharacho, Sakyo-ku, Kyoto 6068507, Japan",
,,,,,,,,,,,,,,,,,
CP184040,CP184040.1,CP184040,"Escherichia coli strain 1438 chromosome, complete genome",Escherichia coli,Escherichia coli,SAMN47255926,PRJNA1232972,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Matsumura,Y., Peirano,G. and Pitout,J.D.D.",Direct Submission,"Submitted (07-MAR-2025) Clinical Laboratory Medicine, Kyoto University Graduate School of Medicine, 54 Shogoin-kawaharacho, Sakyo-ku, Kyoto 6068507, Japan",
,,,,,,,,,,,,,,,,,
CP184058,CP184058.1,CP184058,"Escherichia coli strain 1446 chromosome, complete genome",Escherichia coli,Escherichia coli,SAMN47255932,PRJNA1232972,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Matsumura,Y., Peirano,G. and Pitout,J.D.D.",Direct Submission,"Submitted (07-MAR-2025) Clinical Laboratory Medicine, Kyoto University Graduate School of Medicine, 54 Shogoin-kawaharacho, Sakyo-ku, Kyoto 6068507, Japan",
,,,,,,,,,,,,,,,,,
CP184030,CP184030.1,CP184030,"Escherichia coli strain 1436 chromosome, complete genome",Escherichia coli,Escherichia coli,SAMN47255924,PRJNA1232972,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Matsumura,Y., Peirano,G. and Pitout,J.D.D.",Direct Submission,"Submitted (07-MAR-2025) Clinical Laboratory Medicine, Kyoto University Graduate School of Medicine, 54 Shogoin-kawaharacho, Sakyo-ku, Kyoto 6068507, Japan",
,,,,,,,,,,,,,,,,,
CP184060,CP184060.1,CP184060,"Escherichia coli strain 1447 chromosome, complete genome",Escherichia coli,Escherichia coli,SAMN47255933,PRJNA1232972,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Matsumura,Y., Peirano,G. and Pitout,J.D.D.",Direct Submission,"Submitted (07-MAR-2025) Clinical Laboratory Medicine, Kyoto University Graduate School of Medicine, 54 Shogoin-kawaharacho, Sakyo-ku, Kyoto 6068507, Japan",
,,,,,,,,,,,,,,,,,
CP184080,CP184080.1,CP184080,"Escherichia coli strain AZ148 chromosome, complete genome",Escherichia coli,Escherichia coli,SAMN47255937,PRJNA1232972,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Matsumura,Y., Peirano,G. and Pitout,J.D.D.",Direct Submission,"Submitted (07-MAR-2025) Clinical Laboratory Medicine, Kyoto University Graduate School of Medicine, 54 Shogoin-kawaharacho, Sakyo-ku, Kyoto 6068507, Japan",
,,,,,,,,,,,,,,,,,
CP184051,CP184051.1,CP184051,"Escherichia coli strain 1444 chromosome, complete genome",Escherichia coli,Escherichia coli,SAMN47255931,PRJNA1232972,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Matsumura,Y., Peirano,G. and Pitout,J.D.D.",Direct Submission,"Submitted (07-MAR-2025) Clinical Laboratory Medicine, Kyoto University Graduate School of Medicine, 54 Shogoin-kawaharacho, Sakyo-ku, Kyoto 6068507, Japan",
,,,,,,,,,,,,,,,,,
CP184016,CP184016.1,CP184016,"Escherichia coli strain 1380 chromosome, complete genome",Escherichia coli,Escherichia coli,SAMN47255921,PRJNA1232972,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Matsumura,Y., Peirano,G. and Pitout,J.D.D.",Direct Submission,"Submitted (07-MAR-2025) Clinical Laboratory Medicine, Kyoto University Graduate School of Medicine, 54 Shogoin-kawaharacho, Sakyo-ku, Kyoto 6068507, Japan",
,,,,,,,,,,,,,,,,,
CP184007,CP184007.1,CP184007,"Escherichia coli strain 1290 chromosome, complete genome",Escherichia coli,Escherichia coli,SAMN47255920,PRJNA1232972,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Matsumura,Y., Peirano,G. and Pitout,J.D.D.",Direct Submission,"Submitted (07-MAR-2025) Clinical Laboratory Medicine, Kyoto University Graduate School of Medicine, 54 Shogoin-kawaharacho, Sakyo-ku, Kyoto 6068507, Japan",
,,,,,,,,,,,,,,,,,
CP184019,CP184019.1,CP184019,"Escherichia coli strain 1434 chromosome, complete genome",Escherichia coli,Escherichia coli,SAMN47255922,PRJNA1232972,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Matsumura,Y., Peirano,G. and Pitout,J.D.D.",Direct Submission,"Submitted (07-MAR-2025) Clinical Laboratory Medicine, Kyoto University Graduate School of Medicine, 54 Shogoin-kawaharacho, Sakyo-ku, Kyoto 6068507, Japan",
,,,,,,,,,,,,,,,,,
CP183996,CP183996.1,CP183996,"Escherichia coli strain 875 chromosome, complete genome",Escherichia coli,Escherichia coli,SAMN47255918,PRJNA1232972,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Matsumura,Y., Peirano,G. and Pitout,J.D.D.",Direct Submission,"Submitted (07-MAR-2025) Clinical Laboratory Medicine, Kyoto University Graduate School of Medicine, 54 Shogoin-kawaharacho, Sakyo-ku, Kyoto 6068507, Japan",
,,,,,,,,,,,,,,,,,
CP159462,CP159462.1,CP159462,"Escherichia coli strain S7cCOLR chromosome, complete genome",Escherichia coli,Escherichia coli,SAMN42056466,PRJNA1096459,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Kovarova,A., Prole,G., Farrell,M.L., Maguire,M., Murphy,L.C., Chueiri,A., O'Connor,L., Miliotis,G., Morris,D. and Burke,L.P.",Antimicrobial resistant Enterobacterales of clinical importance in mute swans,"Sci Total Environ 961, 178400 (2025)",39798462
,,,,,,,,,,,,,,,,,
CP184102,CP184102.1,CP184102,"Escherichia coli strain AZ 187 chromosome, complete genome",Escherichia coli,Escherichia coli,SAMN47255947,PRJNA1232972,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Matsumura,Y., Peirano,G. and Pitout,J.D.D.",Direct Submission,"Submitted (07-MAR-2025) Clinical Laboratory Medicine, Kyoto University Graduate School of Medicine, 54 Shogoin-kawaharacho, Sakyo-ku, Kyoto 6068507, Japan",
,,,,,,,,,,,,,,,,,
CP184114,CP184114.1,CP184114,"Escherichia coli strain AZ 191 chromosome, complete genome",Escherichia coli,Escherichia coli,SAMN47255951,PRJNA1232972,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Matsumura,Y., Peirano,G. and Pitout,J.D.D.",Direct Submission,"Submitted (07-MAR-2025) Clinical Laboratory Medicine, Kyoto University Graduate School of Medicine, 54 Shogoin-kawaharacho, Sakyo-ku, Kyoto 6068507, Japan",
,,,,,,,,,,,,,,,,,
CP159453,CP159453.1,CP159453,"Escherichia coli strain S1bESBLb chromosome, complete genome",Escherichia coli,Escherichia coli,SAMN42054169,PRJNA1096459,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Kovarova,A., Prole,G., Farrell,M.L., Maguire,M., Murphy,L.C., Chueiri,A., O'Connor,L., Miliotis,G., Morris,D. and Burke,L.P.",Antimicrobial resistant Enterobacterales of clinical importance in mute swans,"Sci Total Environ 961, 178400 (2025)",39798462
,,,,,,,,,,,,,,,,,
AP042695,AP042695.1,AP042695,"Escherichia coli O168:H8 OkiPb01715 DNA, complete genome",Escherichia coli,Escherichia coli,SAMD00899059,PRJDB20538,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,
,,,,,,,,,,,,,,,,,
AP042570,AP042570.1,AP042570,"Escherichia coli OUT:H20 OkiPb01695 DNA, complete genome",Escherichia coli,Escherichia coli,SAMD00899039,PRJDB20538,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,
,,,,,,,,,,,,,,,,,
AP042483,AP042483.1,AP042483,"Escherichia coli O174:H21 OkiPb01677 DNA, complete genome",Escherichia coli,Escherichia coli,SAMD00899021,PRJDB20538,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,
,,,,,,,,,,,,,,,,,
CP107553,CP107553.1,CP107553,"Escherichia coli strain MG1655_insertion chromosome, complete genome",Escherichia coli,Escherichia coli,SAMN31233450,PRJNA889197,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Tang,N.",Understanding the rapid spread of antimicrobial resistance genes mediated by insertion sequences,Unpublished,
,,,,,,,,,,,,,,,,,
AP042706,AP042706.1,AP042706,"Escherichia coli O177:H11 OkiPb01717 DNA, complete genome",Escherichia coli,Escherichia coli,SAMD00899061,PRJDB20538,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,
,,,,,,,,,,,,,,,,,
AP042666,AP042666.1,AP042666,"Escherichia coli O116:H16 OkiPb01710 DNA, complete genome",Escherichia coli,Escherichia coli,SAMD00899054,PRJDB20538,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,
,,,,,,,,,,,,,,,,,
AP042659,AP042659.1,AP042659,"Escherichia coli O116:H16 OkiPb01709 DNA, complete genome",Escherichia coli,Escherichia coli,SAMD00899053,PRJDB20538,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,
,,,,,,,,,,,,,,,,,
AP042652,AP042652.1,AP042652,"Escherichia coli O116:H16 OkiPb01708 DNA, complete genome",Escherichia coli,Escherichia coli,SAMD00899052,PRJDB20538,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,
,,,,,,,,,,,,,,,,,
AP042637,AP042637.1,AP042637,"Escherichia coli O116:H16 OkiPb01706 DNA, complete genome",Escherichia coli,Escherichia coli,SAMD00899050,PRJDB20538,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,
,,,,,,,,,,,,,,,,,
AP042630,AP042630.1,AP042630,"Escherichia coli O116:H16 OkiPb01705 DNA, complete genome",Escherichia coli,Escherichia coli,SAMD00899049,PRJDB20538,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,
,,,,,,,,,,,,,,,,,
AP042623,AP042623.1,AP042623,"Escherichia coli O116:H16 OkiPb01704 DNA, complete genome",Escherichia coli,Escherichia coli,SAMD00899048,PRJDB20538,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,
,,,,,,,,,,,,,,,,,
AP042616,AP042616.1,AP042616,"Escherichia coli O116:H16 OkiPb01703 DNA, complete genome",Escherichia coli,Escherichia coli,SAMD00899047,PRJDB20538,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,
,,,,,,,,,,,,,,,,,
AP042598,AP042598.1,AP042598,"Escherichia coli O116:H16 OkiPb01701 DNA, complete genome",Escherichia coli,Escherichia coli,SAMD00899045,PRJDB20538,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,
,,,,,,,,,,,,,,,,,
AP042594,AP042594.1,AP042594,"Escherichia coli O156:H25 OkiPb01700 DNA, complete genome",Escherichia coli,Escherichia coli,SAMD00899044,PRJDB20538,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,
,,,,,,,,,,,,,,,,,
AP042591,AP042591.1,AP042591,"Escherichia coli O157:H7 OkiPb01699 DNA, complete genome",Escherichia coli,Escherichia coli,SAMD00899043,PRJDB20538,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,
,,,,,,,,,,,,,,,,,
AP042564,AP042564.1,AP042564,"Escherichia coli O8:H4 OkiPb01694 DNA, complete genome",Escherichia coli,Escherichia coli,SAMD00899038,PRJDB20538,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,
,,,,,,,,,,,,,,,,,
AP042561,AP042561.1,AP042561,"Escherichia coli O157:H7 OkiPb01693 DNA, complete genome",Escherichia coli,Escherichia coli,SAMD00899037,PRJDB20538,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,
,,,,,,,,,,,,,,,,,
AP042532,AP042532.1,AP042532,"Escherichia coli O157:H7 OkiPb01687 DNA, complete genome",Escherichia coli,Escherichia coli,SAMD00899031,PRJDB20538,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,
