Isolate_ID,Genome_Length_BP,GC_Content_Percent,gene_APH(3'')-Ib,gene_APH(3')-Ia,gene_APH(6)-Id,gene_CMY-59,gene_CRP,gene_CTX-M-14,gene_CTX-M-15,gene_CTX-M-27,gene_Escherichia_coli_acrA,gene_Escherichia_coli_ampC,gene_Escherichia_coli_ampC1_beta-lactamase,gene_Escherichia_coli_ampH,gene_Escherichia_coli_emrE,gene_Escherichia_coli_mdfA,gene_H-NS,gene_KPC-1,gene_MCR-1,gene_QnrS1,gene_aadA5,gene_acrB,gene_acrD,gene_acrE,gene_acrF,gene_acrS,gene_bacA,gene_baeR,gene_baeS,gene_cpxA,gene_dfrA17,gene_emrA,gene_emrB,gene_emrK,gene_emrR,gene_emrY,gene_eptA,gene_evgA,gene_evgS,gene_floR,gene_gadW,gene_gadX,gene_kdpE,gene_marA,gene_mdtA,gene_mdtB,gene_mdtC,gene_mdtE,gene_mdtF,gene_mdtG,gene_mdtH,gene_mdtM,gene_mdtN,gene_mdtO,gene_mdtP,gene_mphA,gene_mphB,gene_msbA,gene_pmrF,gene_sul1,gene_sul2,gene_tet(A),gene_tet(B),gene_tolC,gene_ugd,gene_yojI,class_acridine_dye,class_aminocoumarin,class_aminoglycoside,class_benzalkonium_chloride,class_carbapenem,class_cephalosporin,class_cephamycin,class_diaminopyrimidine,class_fluoroquinolone,class_fosfomycin,class_glycylcycline,class_lincosamide,class_macrolide,class_monobactam,class_nitroimidazole,class_nucleoside,class_penam,class_penem,class_peptide,class_phenicol,class_rhodamine,class_rifamycin,class_sulfonamide,class_tetracycline,class_triclosan,collection_date,country,host,isolation_source,assembly_level,ref_authors,ref_title,ref_journal,ref_pubmed,organism,biosample,bioproject,taxonomy,collection_year,collection_month,collection_season,host_standardized,isolation_source_standardized,total_amr_genes,total_resistance_classes
AP035757.1,4784478,50.86,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,"Murakami,K., Ida,M., Kubota,H., Suzuki,Y., Miyake,H. and Sadamasu,K.",Complete genome sequences of Escherichia coli SOI121,Unpublished,,Escherichia coli,SAMD00770530,PRJDB18000,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,45,23
AP039418.1,5098687,50.58,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,"Kawano,K., Masaki,T., Kawaguchi,T. and Kuroda,M.",Persistence of Colistin Resistance and mcr-1.1-Positive E. coli in Poultry Despite Colistin Ban in Japan,"Antibiotics (Basel) 14 (4), 360 (2025)",40298502.0,Escherichia coli,SAMD00874696,PRJDB19974,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,47,23
AP040249.1,4940609,50.74,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,"Koide,N., Matsuyama,R., Sugiyama,M., Yossapol,M., Sudo,A., Suzuki,M., Murakami,K., Kuroda,M. and Asai,T.",Transmission of antimicrobial resistance determinant in Escherichia species between wild great cormorants and lake water in Japan,Unpublished,,Escherichia coli,SAMD00548845,PRJDB13852,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,51,25
AP042483.1,5300047,50.74,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,,Escherichia coli,SAMD00899021,PRJDB20538,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,51,24
AP042532.1,5451560,50.52,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,,Escherichia coli,SAMD00899031,PRJDB20538,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,46,23
AP042561.1,5494199,50.54,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,,Escherichia coli,SAMD00899037,PRJDB20538,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,46,23
AP042564.1,4971397,50.89,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,,Escherichia coli,SAMD00899038,PRJDB20538,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,46,23
AP042570.1,5026011,50.75,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,,Escherichia coli,SAMD00899039,PRJDB20538,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,46,23
AP042591.1,5473218,50.56,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,,Escherichia coli,SAMD00899043,PRJDB20538,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,46,23
AP042594.1,5283251,50.6,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,,Escherichia coli,SAMD00899044,PRJDB20538,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,45,23
AP042598.1,5299229,50.67,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,,Escherichia coli,SAMD00899045,PRJDB20538,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,50,24
AP042616.1,5300431,50.67,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,,Escherichia coli,SAMD00899047,PRJDB20538,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,50,24
AP042623.1,5299253,50.67,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,,Escherichia coli,SAMD00899048,PRJDB20538,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,50,24
AP042630.1,5300435,50.67,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,,Escherichia coli,SAMD00899049,PRJDB20538,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,50,24
AP042637.1,5300368,50.67,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,,Escherichia coli,SAMD00899050,PRJDB20538,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,50,24
AP042652.1,5300443,50.67,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,,Escherichia coli,SAMD00899052,PRJDB20538,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,50,24
AP042659.1,5300438,50.67,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,,Escherichia coli,SAMD00899053,PRJDB20538,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,50,24
AP042666.1,5300399,50.67,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,,Escherichia coli,SAMD00899054,PRJDB20538,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,50,24
AP042695.1,5282311,50.69,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,,Escherichia coli,SAMD00899059,PRJDB20538,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,46,23
AP042706.1,5516786,50.8,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,"Kakita,T., Ohnishi,M. and Nakamura,K.",Closed genome sequences of EPEC and STEC strains isolated from bovine in Okinawa,Unpublished,,Escherichia coli,SAMD00899061,PRJDB20538,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,45,23
CP107553.1,4688502,50.79,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,"Tang,N.",Understanding the rapid spread of antimicrobial resistance genes mediated by insertion sequences,Unpublished,,Escherichia coli,SAMN31233450,PRJNA889197,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,48,23
CP159453.1,5007645,50.64,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,"Kovarova,A., Prole,G., Farrell,M.L., Maguire,M., Murphy,L.C., Chueiri,A., O'Connor,L., Miliotis,G., Morris,D. and Burke,L.P.",Antimicrobial resistant Enterobacterales of clinical importance in mute swans,"Sci Total Environ 961, 178400 (2025)",39798462.0,Escherichia coli,SAMN42054169,PRJNA1096459,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,47,23
CP159455.1,4785362,50.83,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,"Kovarova,A., Prole,G., Farrell,M.L., Maguire,M., Murphy,L.C., Chueiri,A., O'Connor,L., Miliotis,G., Morris,D. and Burke,L.P.",Antimicrobial resistant Enterobacterales of clinical importance in mute swans,"Sci Total Environ 961, 178400 (2025)",39798462.0,Escherichia coli,SAMN42056363,PRJNA1096459,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,47,23
CP159462.1,5101678,50.68,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,"Kovarova,A., Prole,G., Farrell,M.L., Maguire,M., Murphy,L.C., Chueiri,A., O'Connor,L., Miliotis,G., Morris,D. and Burke,L.P.",Antimicrobial resistant Enterobacterales of clinical importance in mute swans,"Sci Total Environ 961, 178400 (2025)",39798462.0,Escherichia coli,SAMN42056466,PRJNA1096459,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,Unknown,Unknown,Unknown,44,22
